Order_ID,SKU,Category,Warehouse_Zone,Units,Storage_Area_SqFt,Picking_Time_Min,Packing_Time_Min,Labour_Cost_Per_Hour,Transportation_Cost,Order_Revenue,Total_Handling_Time_Min,Labour_Cost,Variable_Cost,Warehouse_Rent_Allocated,Utilities_Allocated,Total_Order_Cost,Contribution,Cost_Per_Unit,Contribution_Margin_%
ORD10011,SKU152,Home & Kitchen,C,9,21.48,4.76,5.21,120,332.44,3860.08,9.969999999999999,19.94,352.38,25.0,5.0,382.38,3477.7,42.49,90.09
ORD10012,SKU101,Personal Care,B,7,23.03,4.76,5.14,180,252.92,1686.84,9.899999999999999,29.7,282.62,25.0,5.0,312.62,1374.22,44.66,81.47
ORD10013,SKU129,Electronics,B,7,20.72,9.87,6.65,160,188.63,1704.63,16.52,44.05,232.68,25.0,5.0,262.68,1441.95,37.53,84.59
ORD10014,SKU137,FMCG,C,13,4.51,11.75,4.34,180,328.6,803.17,16.09,48.27,376.87,25.0,5.0,406.87,396.3,31.3,49.34
ORD10015,SKU101,Personal Care,B,13,5.43,5.71,7.97,180,170.51,2368.27,13.68,41.04,211.55,25.0,5.0,241.55,2126.72,18.58,89.8
ORD10016,SKU163,Personal Care,C,11,14.11,6.29,1.42,160,343.74,3729.65,7.71,20.56,364.3,25.0,5.0,394.3,3335.35,35.85,89.43
ORD10017,SKU159,Electronics,A,4,7.66,10.45,1.02,140,193.93,4719.04,11.469999999999999,26.76,220.69,25.0,5.0,250.69,4468.35,62.67,94.69
ORD10018,SKU120,FMCG,C,2,12.96,4.68,5.48,180,66.57,3137.85,10.16,30.48,97.05,25.0,5.0,127.05,3010.8,63.52,95.95
ORD10019,SKU132,Apparel,C,14,11.07,3.56,3.09,140,274.74,4356.74,6.65,15.52,290.26,25.0,5.0,320.26,4036.48,22.88,92.65
ORD10020,SKU175,Apparel,D,4,14.64,10.53,2.68,160,247.25,4165.72,13.209999999999999,35.23,282.48,25.0,5.0,312.48,3853.24,78.12,92.5
ORD10021,SKU157,Personal Care,C,6,19.18,2.47,3.18,120,277.36,1114.71,5.65,11.3,288.66,25.0,5.0,318.66,796.05,53.11,71.41
ORD10022,SKU121,FMCG,C,11,18.46,8.2,2.79,120,334.46,2583.34,10.989999999999998,21.98,356.44,25.0,5.0,386.44,2196.9,35.13,85.04
ORD10023,SKU148,Personal Care,A,11,13.99,7.62,1.22,180,278.48,849.54,8.84,26.52,305.0,25.0,5.0,335.0,514.54,30.45,60.57
ORD10024,SKU158,Home & Kitchen,D,3,20.92,5.46,7.8,160,225.63,3506.12,13.26,35.36,260.99,25.0,5.0,290.99,3215.13,97.0,91.7
ORD10025,SKU141,Personal Care,E,1,11.91,5.15,2.55,140,304.34,4764.53,7.7,17.97,322.31,25.0,5.0,352.31,4412.22,352.31,92.61
ORD10026,SKU159,Personal Care,A,14,22.62,9.72,6.14,180,245.44,944.32,15.86,47.58,293.02,25.0,5.0,323.02,621.3,23.07,65.79
ORD10027,SKU179,Apparel,A,12,3.64,2.86,6.34,160,160.6,3749.25,9.2,24.53,185.13,25.0,5.0,215.13,3534.12,17.93,94.26
ORD10028,SKU114,Apparel,E,8,23.96,4.37,7.5,160,313.4,3271.52,11.870000000000001,31.65,345.05,25.0,5.0,375.05,2896.47,46.88,88.54
ORD10029,SKU161,Apparel,C,12,17.06,9.32,1.21,140,101.01,3042.94,10.530000000000001,24.57,125.58,25.0,5.0,155.58,2887.36,12.97,94.89
ORD10030,SKU161,Home & Kitchen,B,13,10.74,7.48,7.1,180,258.69,2133.57,14.58,43.74,302.43,25.0,5.0,332.43,1801.14,25.57,84.42
ORD10031,SKU146,Apparel,D,5,6.53,3.28,4.69,160,312.1,1969.12,7.970000000000001,21.25,333.35,25.0,5.0,363.35,1605.77,72.67,81.55
ORD10032,SKU161,FMCG,B,5,13.02,10.82,5.43,160,264.02,512.67,16.25,43.33,307.35,25.0,5.0,337.35,175.32,67.47,34.2
ORD10033,SKU150,Electronics,E,11,6.47,5.93,5.51,160,253.13,1324.17,11.44,30.51,283.64,25.0,5.0,313.64,1010.53,28.51,76.31
ORD10034,SKU154,FMCG,A,4,5.83,10.28,6.74,140,270.84,371.33,17.02,39.71,310.55,25.0,5.0,340.55,30.78,85.14,8.29
ORD10035,SKU163,FMCG,A,6,16.2,9.88,3.33,180,178.82,3032.66,13.21,39.63,218.45,25.0,5.0,248.45,2784.21,41.41,91.81
ORD10036,SKU102,Apparel,D,3,14.03,8.24,6.13,180,309.73,797.51,14.370000000000001,43.11,352.84,25.0,5.0,382.84,414.67,127.61,52.0
ORD10037,SKU150,Electronics,A,9,17.41,6.94,4.7,180,95.1,4403.19,11.64,34.92,130.02,25.0,5.0,160.02,4243.17,17.78,96.37
ORD10038,SKU106,Electronics,A,5,23.38,11.8,6.55,180,70.76,2758.77,18.35,55.05,125.81,25.0,5.0,155.81,2602.96,31.16,94.35
ORD10039,SKU120,Electronics,D,3,14.24,3.45,7.93,120,121.36,3588.54,11.379999999999999,22.76,144.12,25.0,5.0,174.12,3414.42,58.04,95.15
ORD10040,SKU172,Home & Kitchen,D,11,15.36,9.25,2.4,120,200.1,2231.03,11.65,23.3,223.4,25.0,5.0,253.4,1977.63,23.04,88.64
ORD10041,SKU138,Apparel,E,1,4.06,3.91,7.96,180,193.38,2934.73,11.870000000000001,35.61,228.99,25.0,5.0,258.99,2675.74,258.99,91.17
ORD10042,SKU117,Electronics,A,10,18.51,5.38,1.63,140,292.59,4730.5,7.01,16.36,308.95,25.0,5.0,338.95,4391.55,33.89,92.83
ORD10043,SKU103,Home & Kitchen,A,12,11.2,5.09,1.02,120,159.46,688.85,6.109999999999999,12.22,171.68,25.0,5.0,201.68,487.17,16.81,70.72
ORD10044,SKU159,Personal Care,E,6,24.46,11.47,1.31,160,184.99,1493.51,12.780000000000001,34.08,219.07,25.0,5.0,249.07,1244.44,41.51,83.32
ORD10045,SKU113,Personal Care,C,2,20.93,11.67,3.39,120,34.28,3965.95,15.06,30.12,64.4,25.0,5.0,94.4,3871.55,47.2,97.62
ORD10046,SKU108,Home & Kitchen,C,13,14.02,3.83,5.43,160,161.12,764.06,9.26,24.69,185.81,25.0,5.0,215.81,548.25,16.6,71.75
ORD10047,SKU152,Home & Kitchen,C,3,4.83,2.22,1.48,180,237.29,655.61,3.7,11.1,248.39,25.0,5.0,278.39,377.22,92.8,57.54
ORD10048,SKU101,Apparel,E,1,21.77,9.2,1.04,120,34.96,1999.24,10.239999999999998,20.48,55.44,25.0,5.0,85.44,1913.8,85.44,95.73
ORD10049,SKU159,Apparel,A,9,20.39,6.18,7.56,140,119.88,733.19,13.739999999999998,32.06,151.94,25.0,5.0,181.94,551.25,20.22,75.19
ORD10050,SKU170,Personal Care,E,8,6.25,2.89,6.75,120,96.55,3049.87,9.64,19.28,115.83,25.0,5.0,145.83,2904.04,18.23,95.22
ORD10051,SKU143,Electronics,E,12,8.79,8.84,6.66,120,43.44,1363.49,15.5,31.0,74.44,25.0,5.0,104.44,1259.05,8.7,92.34
ORD10052,SKU107,Personal Care,C,2,20.25,7.45,7.19,120,183.36,4509.78,14.64,29.28,212.64,25.0,5.0,242.64,4267.14,121.32,94.62
ORD10053,SKU146,Electronics,B,12,6.26,11.81,5.9,180,88.15,3982.45,17.71,53.13,141.28,25.0,5.0,171.28,3811.17,14.27,95.7
ORD10054,SKU134,Electronics,A,11,23.11,4.27,1.73,140,267.79,3588.61,6.0,14.0,281.79,25.0,5.0,311.79,3276.82,28.34,91.31
ORD10055,SKU177,Apparel,C,8,11.76,6.04,3.79,120,301.34,3199.64,9.83,19.66,321.0,25.0,5.0,351.0,2848.64,43.88,89.03
ORD10056,SKU135,FMCG,B,12,4.0,7.43,6.06,140,204.59,4358.29,13.489999999999998,31.48,236.07,25.0,5.0,266.07,4092.22,22.17,93.9
ORD10057,SKU149,FMCG,B,14,20.76,9.92,2.96,180,344.15,1348.39,12.879999999999999,38.64,382.79,25.0,5.0,412.79,935.6,29.49,69.39
ORD10058,SKU103,Home & Kitchen,D,9,10.59,7.49,5.81,160,174.15,4403.61,13.3,35.47,209.62,25.0,5.0,239.62,4163.99,26.62,94.56
ORD10059,SKU101,Apparel,A,1,14.11,8.13,1.17,120,194.28,4010.61,9.3,18.6,212.88,25.0,5.0,242.88,3767.73,242.88,93.94
ORD10060,SKU105,Electronics,B,13,4.58,4.26,3.14,140,346.55,3816.36,7.4,17.27,363.82,25.0,5.0,393.82,3422.54,30.29,89.68
ORD10061,SKU153,FMCG,C,5,2.06,10.47,4.84,140,104.1,2937.9,15.31,35.72,139.82,25.0,5.0,169.82,2768.08,33.96,94.22
ORD10062,SKU103,Electronics,D,8,16.67,6.29,5.42,180,331.61,1457.35,11.71,35.13,366.74,25.0,5.0,396.74,1060.61,49.59,72.78
ORD10063,SKU153,FMCG,A,11,13.85,3.41,5.04,120,43.71,2290.68,8.45,16.9,60.61,25.0,5.0,90.61,2200.07,8.24,96.04
ORD10064,SKU162,FMCG,E,14,15.65,8.64,5.88,160,172.84,4029.78,14.52,38.72,211.56,25.0,5.0,241.56,3788.22,17.25,94.01
ORD10065,SKU117,FMCG,C,2,20.26,4.16,1.04,140,52.4,449.36,5.2,12.13,64.53,25.0,5.0,94.53,354.83,47.26,78.96
ORD10066,SKU143,Apparel,B,4,16.87,2.98,1.71,120,263.36,3975.64,4.6899999999999995,9.38,272.74,25.0,5.0,302.74,3672.9,75.68,92.39
ORD10067,SKU133,Personal Care,B,7,6.02,10.62,7.08,160,224.69,1428.33,17.7,47.2,271.89,25.0,5.0,301.89,1126.44,43.13,78.86
ORD10068,SKU173,Electronics,C,3,10.3,6.6,5.77,140,256.12,978.25,12.37,28.86,284.98,25.0,5.0,314.98,663.27,104.99,67.8
ORD10069,SKU161,Apparel,B,13,22.84,9.49,1.79,140,149.83,843.8,11.280000000000001,26.32,176.15,25.0,5.0,206.15,637.65,15.86,75.57
ORD10070,SKU113,Apparel,D,12,19.71,4.91,6.89,160,148.23,428.08,11.8,31.47,179.7,25.0,5.0,209.7,218.38,17.47,51.01
ORD10071,SKU147,Apparel,A,5,14.8,9.87,2.7,160,44.5,2760.86,12.57,33.52,78.02,25.0,5.0,108.02,2652.84,21.6,96.09
ORD10072,SKU114,Apparel,D,8,7.88,3.12,4.35,180,141.98,1325.82,7.47,22.41,164.39,25.0,5.0,194.39,1131.43,24.3,85.34
ORD10073,SKU171,Apparel,B,12,8.95,5.56,2.02,120,327.37,4950.33,7.58,15.16,342.53,25.0,5.0,372.53,4577.8,31.04,92.47
ORD10074,SKU177,Home & Kitchen,E,10,18.84,11.78,5.97,120,151.35,2999.85,17.75,35.5,186.85,25.0,5.0,216.85,2783.0,21.68,92.77
ORD10075,SKU161,Electronics,A,3,21.58,9.94,5.67,180,296.04,948.06,15.61,46.83,342.87,25.0,5.0,372.87,575.19,124.29,60.67
ORD10076,SKU139,Apparel,A,4,17.44,6.97,2.48,140,299.54,3537.18,9.45,22.05,321.59,25.0,5.0,351.59,3185.59,87.9,90.06
ORD10077,SKU179,Electronics,C,14,20.62,5.4,7.04,160,149.44,4519.39,12.440000000000001,33.17,182.61,25.0,5.0,212.61,4306.78,15.19,95.3
ORD10078,SKU152,Home & Kitchen,C,9,19.63,10.72,3.81,160,232.24,3802.34,14.530000000000001,38.75,270.99,25.0,5.0,300.99,3501.35,33.44,92.08
ORD10079,SKU123,Home & Kitchen,E,14,5.44,7.45,3.05,160,60.52,659.27,10.5,28.0,88.52,25.0,5.0,118.52,540.75,8.47,82.02
ORD10080,SKU125,Electronics,A,14,11.75,9.58,2.07,140,63.18,4510.66,11.65,27.18,90.36,25.0,5.0,120.36,4390.3,8.6,97.33
ORD10081,SKU159,FMCG,E,7,5.52,9.54,2.86,160,45.57,4031.47,12.399999999999999,33.07,78.64,25.0,5.0,108.64,3922.83,15.52,97.31
ORD10082,SKU140,Personal Care,C,1,7.41,2.18,1.15,160,215.92,1044.03,3.33,8.88,224.8,25.0,5.0,254.8,789.23,254.8,75.59
ORD10083,SKU128,FMCG,C,14,21.99,3.26,5.08,180,166.34,543.39,8.34,25.02,191.36,25.0,5.0,221.36,322.03,15.81,59.26
ORD10084,SKU114,FMCG,A,12,12.88,8.6,6.9,140,205.37,2919.36,15.5,36.17,241.54,25.0,5.0,271.54,2647.82,22.63,90.7
ORD10085,SKU144,FMCG,D,4,14.31,3.62,4.84,120,196.74,1033.37,8.46,16.92,213.66,25.0,5.0,243.66,789.71,60.92,76.42
ORD10086,SKU164,Apparel,B,4,6.1,4.55,2.53,180,142.06,4222.58,7.08,21.24,163.3,25.0,5.0,193.3,4029.28,48.32,95.42
ORD10087,SKU170,Home & Kitchen,C,9,9.18,11.47,1.24,180,246.79,1984.17,12.71,38.13,284.92,25.0,5.0,314.92,1669.25,34.99,84.13
ORD10088,SKU108,FMCG,C,6,7.3,7.6,2.5,120,272.72,4590.59,10.1,20.2,292.92,25.0,5.0,322.92,4267.67,53.82,92.97
ORD10089,SKU100,Home & Kitchen,D,9,6.74,9.51,3.91,180,34.68,2958.73,13.42,40.26,74.94,25.0,5.0,104.94,2853.79,11.66,96.45
ORD10090,SKU107,Electronics,D,12,16.67,7.58,6.32,140,96.32,1158.56,13.9,32.43,128.75,25.0,5.0,158.75,999.81,13.23,86.3
ORD10091,SKU162,Personal Care,E,6,7.91,7.53,2.31,160,258.24,956.11,9.84,26.24,284.48,25.0,5.0,314.48,641.63,52.41,67.11
ORD10092,SKU110,Electronics,E,6,16.54,2.94,6.04,140,153.72,3009.42,8.98,20.95,174.67,25.0,5.0,204.67,2804.75,34.11,93.2
ORD10093,SKU107,Electronics,B,5,3.34,5.44,7.07,120,241.99,3880.85,12.510000000000002,25.02,267.01,25.0,5.0,297.01,3583.84,59.4,92.35
ORD10094,SKU134,Apparel,B,5,5.26,4.82,4.18,120,141.03,3973.08,9.0,18.0,159.03,25.0,5.0,189.03,3784.05,37.81,95.24
ORD10095,SKU134,Personal Care,A,2,8.31,5.91,6.75,180,155.04,1596.06,12.66,37.98,193.02,25.0,5.0,223.02,1373.04,111.51,86.03
ORD10096,SKU132,Electronics,E,8,15.73,9.98,4.88,140,80.78,1259.96,14.86,34.67,115.45,25.0,5.0,145.45,1114.51,18.18,88.46
ORD10097,SKU104,Electronics,C,8,17.54,5.72,5.46,140,112.63,378.75,11.18,26.09,138.72,25.0,5.0,168.72,210.03,21.09,55.45
ORD10098,SKU140,Personal Care,E,11,12.18,6.52,4.68,120,223.73,3492.24,11.2,22.4,246.13,25.0,5.0,276.13,3216.11,25.1,92.09
ORD10099,SKU127,Personal Care,C,13,12.25,5.97,4.24,140,168.61,659.87,10.21,23.82,192.43,25.0,5.0,222.43,437.44,17.11,66.29
ORD10100,SKU106,Electronics,D,1,18.66,2.93,2.64,120,277.78,2277.58,5.57,11.14,288.92,25.0,5.0,318.92,1958.66,318.92,86.0
ORD10101,SKU172,Personal Care,E,8,2.36,6.41,3.12,140,302.83,3127.91,9.530000000000001,22.24,325.07,25.0,5.0,355.07,2772.84,44.38,88.65
ORD10102,SKU171,Electronics,D,5,9.85,3.96,3.03,140,203.33,4704.41,6.99,16.31,219.64,25.0,5.0,249.64,4454.77,49.93,94.69
ORD10103,SKU111,Electronics,B,2,20.83,3.87,4.94,140,272.65,1765.47,8.81,20.56,293.21,25.0,5.0,323.21,1442.26,161.6,81.69
ORD10104,SKU133,Apparel,B,14,15.87,2.94,1.84,120,128.21,1473.93,4.78,9.56,137.77,25.0,5.0,167.77,1306.16,11.98,88.62
ORD10105,SKU132,FMCG,A,2,9.76,5.57,7.42,180,162.79,3374.55,12.99,38.97,201.76,25.0,5.0,231.76,3142.79,115.88,93.13
ORD10106,SKU147,Electronics,E,14,22.83,9.57,6.04,140,258.09,3210.42,15.61,36.42,294.51,25.0,5.0,324.51,2885.91,23.18,89.89
ORD10107,SKU122,Home & Kitchen,D,6,19.77,4.76,3.81,120,153.59,1860.92,8.57,17.14,170.73,25.0,5.0,200.73,1660.19,33.46,89.21
ORD10108,SKU161,FMCG,C,11,8.09,5.12,2.11,120,218.32,4662.08,7.23,14.46,232.78,25.0,5.0,262.78,4399.3,23.89,94.36
ORD10109,SKU136,FMCG,B,13,16.84,8.43,7.17,140,89.32,4270.85,15.6,36.4,125.72,25.0,5.0,155.72,4115.13,11.98,96.35
ORD10110,SKU143,FMCG,B,9,15.7,3.96,6.77,140,221.93,1352.72,10.73,25.04,246.97,25.0,5.0,276.97,1075.75,30.77,79.52
ORD10111,SKU134,Apparel,C,1,11.23,10.97,6.05,180,305.68,1423.97,17.02,51.06,356.74,25.0,5.0,386.74,1037.23,386.74,72.84
ORD10112,SKU164,Electronics,D,12,10.44,7.2,2.9,120,307.96,2707.81,10.1,20.2,328.16,25.0,5.0,358.16,2349.65,29.85,86.77
ORD10113,SKU146,Apparel,D,6,9.9,6.48,3.82,120,261.79,3935.79,10.3,20.6,282.39,25.0,5.0,312.39,3623.4,52.06,92.06
ORD10114,SKU177,Electronics,E,9,16.19,7.58,1.72,160,268.64,506.99,9.3,24.8,293.44,25.0,5.0,323.44,183.55,35.94,36.2
ORD10115,SKU102,Apparel,E,8,12.18,3.66,2.32,120,208.54,3558.68,5.98,11.96,220.5,25.0,5.0,250.5,3308.18,31.31,92.96
ORD10116,SKU100,Apparel,A,11,21.13,8.13,6.48,180,217.09,3346.71,14.610000000000001,43.83,260.92,25.0,5.0,290.92,3055.79,26.45,91.31
ORD10117,SKU104,Home & Kitchen,B,6,17.4,5.63,6.01,160,72.77,1387.96,11.64,31.04,103.81,25.0,5.0,133.81,1254.15,22.3,90.36
ORD10118,SKU113,Apparel,E,3,3.61,10.97,5.15,160,172.03,3502.36,16.12,42.99,215.02,25.0,5.0,245.02,3257.34,81.67,93.0
ORD10119,SKU126,Personal Care,D,8,16.72,3.69,7.27,160,174.25,4718.86,10.959999999999999,29.23,203.48,25.0,5.0,233.48,4485.38,29.18,95.05
ORD10120,SKU108,Home & Kitchen,C,9,8.24,7.07,5.08,140,336.72,519.89,12.15,28.35,365.07,25.0,5.0,395.07,124.82,43.9,24.01
ORD10121,SKU178,Apparel,D,1,15.63,7.98,4.27,140,167.95,1802.36,12.25,28.58,196.53,25.0,5.0,226.53,1575.83,226.53,87.43
ORD10122,SKU114,FMCG,B,12,17.64,2.33,3.38,120,205.79,2359.43,5.71,11.42,217.21,25.0,5.0,247.21,2112.22,20.6,89.52
ORD10123,SKU141,Personal Care,D,9,7.31,5.64,7.58,160,200.64,4526.52,13.219999999999999,35.25,235.89,25.0,5.0,265.89,4260.63,29.54,94.13
ORD10124,SKU176,Personal Care,A,14,12.51,9.33,1.58,180,233.76,4822.63,10.91,32.73,266.49,25.0,5.0,296.49,4526.14,21.18,93.85
ORD10125,SKU150,Personal Care,B,6,6.38,10.2,7.52,140,269.43,2387.34,17.72,41.35,310.78,25.0,5.0,340.78,2046.56,56.8,85.73
ORD10126,SKU162,Home & Kitchen,C,6,3.2,5.13,6.79,180,102.01,3825.13,11.92,35.76,137.77,25.0,5.0,167.77,3657.36,27.96,95.61
ORD10127,SKU151,Apparel,A,12,10.7,9.99,1.91,180,199.19,2798.81,11.9,35.7,234.89,25.0,5.0,264.89,2533.92,22.07,90.54
ORD10128,SKU103,Apparel,B,4,10.35,11.68,4.95,140,294.29,2827.58,16.63,38.8,333.09,25.0,5.0,363.09,2464.49,90.77,87.16
ORD10129,SKU122,FMCG,C,1,24.9,10.57,7.07,140,178.2,1607.07,17.64,41.16,219.36,25.0,5.0,249.36,1357.71,249.36,84.48
ORD10130,SKU114,FMCG,A,10,12.27,3.18,5.0,140,119.11,1319.69,8.18,19.09,138.2,25.0,5.0,168.2,1151.49,16.82,87.25
ORD10131,SKU142,Personal Care,A,8,9.67,9.4,7.35,140,239.51,1653.63,16.75,39.08,278.59,25.0,5.0,308.59,1345.04,38.57,81.34
ORD10132,SKU128,FMCG,B,2,15.35,5.2,7.6,160,293.61,2914.74,12.8,34.13,327.74,25.0,5.0,357.74,2557.0,178.87,87.73
ORD10133,SKU135,Home & Kitchen,E,12,4.04,11.88,3.96,160,50.2,437.03,15.84,42.24,92.44,25.0,5.0,122.44,314.59,10.2,71.98
ORD10134,SKU112,Apparel,A,1,24.12,6.85,3.64,160,278.57,4564.07,10.49,27.97,306.54,25.0,5.0,336.54,4227.53,336.54,92.63
ORD10135,SKU131,Personal Care,A,2,16.6,3.22,7.55,160,292.93,1034.53,10.77,28.72,321.65,25.0,5.0,351.65,682.88,175.82,66.01
ORD10136,SKU170,FMCG,C,1,19.36,9.25,5.73,120,177.69,1334.42,14.98,29.96,207.65,25.0,5.0,237.65,1096.77,237.65,82.19
ORD10137,SKU158,Home & Kitchen,D,1,5.92,5.23,1.81,160,344.66,2735.9,7.040000000000001,18.77,363.43,25.0,5.0,393.43,2342.47,393.43,85.62
ORD10138,SKU127,Home & Kitchen,B,9,11.42,11.97,1.3,140,281.75,3637.54,13.270000000000001,30.96,312.71,25.0,5.0,342.71,3294.83,38.08,90.58
ORD10139,SKU165,FMCG,B,13,11.72,11.8,4.95,180,277.57,749.93,16.75,50.25,327.82,25.0,5.0,357.82,392.11,27.52,52.29
ORD10140,SKU141,Apparel,E,14,20.9,8.56,7.51,160,269.31,1793.17,16.07,42.85,312.16,25.0,5.0,342.16,1451.01,24.44,80.92
ORD10141,SKU144,FMCG,E,1,2.03,3.3,6.91,120,78.19,4852.77,10.21,20.42,98.61,25.0,5.0,128.61,4724.16,128.61,97.35
ORD10142,SKU161,Personal Care,B,13,8.92,8.87,5.73,140,99.51,1533.01,14.6,34.07,133.58,25.0,5.0,163.58,1369.43,12.58,89.33
ORD10143,SKU156,FMCG,E,4,24.57,2.93,1.97,180,178.48,1771.34,4.9,14.7,193.18,25.0,5.0,223.18,1548.16,55.8,87.4
ORD10144,SKU105,Home & Kitchen,C,10,12.92,2.29,2.78,180,114.48,4231.54,5.07,15.21,129.69,25.0,5.0,159.69,4071.85,15.97,96.23
ORD10145,SKU127,FMCG,B,6,10.8,10.23,7.13,160,162.88,536.01,17.36,46.29,209.17,25.0,5.0,239.17,296.84,39.86,55.38
ORD10146,SKU127,Apparel,E,7,4.76,4.1,2.28,180,314.31,2483.68,6.379999999999999,19.14,333.45,25.0,5.0,363.45,2120.23,51.92,85.37
ORD10147,SKU143,Electronics,B,2,24.41,5.79,2.95,160,293.78,2084.2,8.74,23.31,317.09,25.0,5.0,347.09,1737.11,173.54,83.35
ORD10148,SKU129,FMCG,D,6,2.46,11.73,1.91,160,231.61,1787.96,13.64,36.37,267.98,25.0,5.0,297.98,1489.98,49.66,83.33
ORD10149,SKU161,Apparel,A,7,18.96,5.37,5.73,140,304.6,1642.79,11.100000000000001,25.9,330.5,25.0,5.0,360.5,1282.29,51.5,78.06
ORD10150,SKU174,Apparel,B,10,19.68,4.96,7.61,140,280.81,729.46,12.57,29.33,310.14,25.0,5.0,340.14,389.32,34.01,53.37
ORD10151,SKU161,Home & Kitchen,A,14,7.6,11.18,2.88,120,167.28,1779.68,14.059999999999999,28.12,195.4,25.0,5.0,225.4,1554.28,16.1,87.33
ORD10152,SKU100,Apparel,E,10,17.45,3.11,4.33,140,94.34,502.35,7.4399999999999995,17.36,111.7,25.0,5.0,141.7,360.65,14.17,71.79
ORD10153,SKU126,Apparel,A,2,4.14,9.6,5.44,140,194.54,3970.53,15.04,35.09,229.63,25.0,5.0,259.63,3710.9,129.82,93.46
ORD10154,SKU161,Apparel,B,2,7.91,11.88,8.0,160,265.59,2171.67,19.880000000000003,53.01,318.6,25.0,5.0,348.6,1823.07,174.3,83.95
ORD10155,SKU176,Apparel,D,10,20.12,11.01,1.73,140,169.65,2386.35,12.74,29.73,199.38,25.0,5.0,229.38,2156.97,22.94,90.39
ORD10156,SKU102,Personal Care,E,7,21.89,8.52,4.49,160,243.37,4499.89,13.01,34.69,278.06,25.0,5.0,308.06,4191.83,44.01,93.15
ORD10157,SKU169,Personal Care,B,12,16.0,5.14,3.7,160,60.18,3392.86,8.84,23.57,83.75,25.0,5.0,113.75,3279.11,9.48,96.65
ORD10158,SKU171,Home & Kitchen,E,1,13.66,4.54,7.06,140,269.36,337.88,11.6,27.07,296.43,25.0,5.0,326.43,11.45,326.43,3.39
ORD10159,SKU126,FMCG,C,8,5.66,10.19,4.33,120,290.07,4732.92,14.52,29.04,319.11,25.0,5.0,349.11,4383.81,43.64,92.62
ORD10160,SKU108,Apparel,A,11,3.45,10.8,1.78,120,256.19,1414.58,12.58,25.16,281.35,25.0,5.0,311.35,1103.23,28.3,77.99
ORD10161,SKU161,FMCG,C,13,4.71,7.25,5.44,180,339.52,805.79,12.690000000000001,38.07,377.59,25.0,5.0,407.59,398.2,31.35,49.42
ORD10162,SKU136,FMCG,B,3,7.23,4.44,6.4,180,294.53,3910.2,10.84,32.52,327.05,25.0,5.0,357.05,3553.15,119.02,90.87
ORD10163,SKU150,Home & Kitchen,D,11,9.86,3.13,1.02,140,318.99,2652.24,4.15,9.68,328.67,25.0,5.0,358.67,2293.57,32.61,86.48
ORD10164,SKU143,Apparel,E,6,10.76,2.87,7.01,120,328.74,2338.72,9.879999999999999,19.76,348.5,25.0,5.0,378.5,1960.22,63.08,83.82
ORD10165,SKU123,Apparel,A,9,9.97,9.19,2.3,160,286.43,1472.66,11.489999999999998,30.64,317.07,25.0,5.0,347.07,1125.59,38.56,76.43
ORD10166,SKU178,Electronics,E,6,7.5,6.2,4.86,180,245.76,2873.12,11.06,33.18,278.94,25.0,5.0,308.94,2564.18,51.49,89.25
ORD10167,SKU158,FMCG,B,9,13.72,11.05,3.91,160,31.83,1589.61,14.96,39.89,71.72,25.0,5.0,101.72,1487.89,11.3,93.6
